y	x	label	showSelected1
5.5	5	Estimate: NA (Hits: 0)	1
5.5	5	Estimate: 3.2000 (Hits: 1)	2
5.5	5	Estimate: 2.4000 (Hits: 2)	3
5.5	5	Estimate: 3.2000 (Hits: 2)	4
5.5	5	Estimate: 2.6667 (Hits: 3)	5
5.5	5	Estimate: 3.2000 (Hits: 3)	6
5.5	5	Estimate: 3.7333 (Hits: 3)	7
5.5	5	Estimate: 4.2667 (Hits: 3)	8
5.5	5	Estimate: 3.6000 (Hits: 4)	9
5.5	5	Estimate: 4.0000 (Hits: 4)	10
5.5	5	Estimate: 4.4000 (Hits: 4)	11
5.5	5	Estimate: 3.8400 (Hits: 5)	12
5.5	5	Estimate: 4.1600 (Hits: 5)	13
5.5	5	Estimate: 4.4800 (Hits: 5)	14
5.5	5	Estimate: 4.8000 (Hits: 5)	15
5.5	5	Estimate: 5.1200 (Hits: 5)	16
5.5	5	Estimate: 4.5333 (Hits: 6)	17
5.5	5	Estimate: 4.8000 (Hits: 6)	18
5.5	5	Estimate: 4.3429 (Hits: 7)	19
5.5	5	Estimate: 4.0000 (Hits: 8)	20
5.5	5	Estimate: 4.2000 (Hits: 8)	21
5.5	5	Estimate: 4.4000 (Hits: 8)	22
5.5	5	Estimate: 4.0889 (Hits: 9)	23
5.5	5	Estimate: 3.8400 (Hits: 10)	24
5.5	5	Estimate: 3.6364 (Hits: 11)	25
5.5	5	Estimate: 3.7818 (Hits: 11)	26
5.5	5	Estimate: 3.9273 (Hits: 11)	27
5.5	5	Estimate: 3.7333 (Hits: 12)	28
5.5	5	Estimate: 3.8667 (Hits: 12)	29
5.5	5	Estimate: 3.6923 (Hits: 13)	30
5.5	5	Estimate: 3.5429 (Hits: 14)	31
5.5	5	Estimate: 3.6571 (Hits: 14)	32
5.5	5	Estimate: 3.7714 (Hits: 14)	33
5.5	5	Estimate: 3.6267 (Hits: 15)	34
5.5	5	Estimate: 3.5000 (Hits: 16)	35
5.5	5	Estimate: 3.6000 (Hits: 16)	36
5.5	5	Estimate: 3.4824 (Hits: 17)	37
5.5	5	Estimate: 3.3778 (Hits: 18)	38
5.5	5	Estimate: 3.4667 (Hits: 18)	39
5.5	5	Estimate: 3.3684 (Hits: 19)	40
5.5	5	Estimate: 3.2800 (Hits: 20)	41
5.5	5	Estimate: 3.2000 (Hits: 21)	42
5.5	5	Estimate: 3.2762 (Hits: 21)	43
5.5	5	Estimate: 3.2000 (Hits: 22)	44
5.5	5	Estimate: 3.2727 (Hits: 22)	45
5.5	5	Estimate: 3.3455 (Hits: 22)	46
5.5	5	Estimate: 3.2696 (Hits: 23)	47
5.5	5	Estimate: 3.3391 (Hits: 23)	48
5.5	5	Estimate: 3.4087 (Hits: 23)	49
5.5	5	Estimate: 3.3333 (Hits: 24)	50
5.5	5	Estimate: 3.4000 (Hits: 24)	51
5.5	5	Estimate: 3.3280 (Hits: 25)	52
5.5	5	Estimate: 3.2615 (Hits: 26)	53
5.5	5	Estimate: 3.3231 (Hits: 26)	54
5.5	5	Estimate: 3.3846 (Hits: 26)	55
5.5	5	Estimate: 3.3185 (Hits: 27)	56
5.5	5	Estimate: 3.2571 (Hits: 28)	57
5.5	5	Estimate: 3.2000 (Hits: 29)	58
5.5	5	Estimate: 3.2552 (Hits: 29)	59
5.5	5	Estimate: 3.2000 (Hits: 30)	60
5.5	5	Estimate: 3.1484 (Hits: 31)	61
5.5	5	Estimate: 3.2000 (Hits: 31)	62
5.5	5	Estimate: 3.1500 (Hits: 32)	63
5.5	5	Estimate: 3.2000 (Hits: 32)	64
5.5	5	Estimate: 3.1515 (Hits: 33)	65
5.5	5	Estimate: 3.1059 (Hits: 34)	66
5.5	5	Estimate: 3.0629 (Hits: 35)	67
5.5	5	Estimate: 3.0222 (Hits: 36)	68
5.5	5	Estimate: 2.9838 (Hits: 37)	69
5.5	5	Estimate: 2.9474 (Hits: 38)	70
5.5	5	Estimate: 2.9128 (Hits: 39)	71
5.5	5	Estimate: 2.8800 (Hits: 40)	72
5.5	5	Estimate: 2.9200 (Hits: 40)	73
5.5	5	Estimate: 2.8878 (Hits: 41)	74
5.5	5	Estimate: 2.9268 (Hits: 41)	75
5.5	5	Estimate: 2.8952 (Hits: 42)	76
5.5	5	Estimate: 2.8651 (Hits: 43)	77
5.5	5	Estimate: 2.8364 (Hits: 44)	78
5.5	5	Estimate: 2.8727 (Hits: 44)	79
5.5	5	Estimate: 2.9091 (Hits: 44)	80
5.5	5	Estimate: 2.9455 (Hits: 44)	81
5.5	5	Estimate: 2.9818 (Hits: 44)	82
5.5	5	Estimate: 2.9511 (Hits: 45)	83
5.5	5	Estimate: 2.9217 (Hits: 46)	84
5.5	5	Estimate: 2.9565 (Hits: 46)	85
5.5	5	Estimate: 2.9277 (Hits: 47)	86
5.5	5	Estimate: 2.9000 (Hits: 48)	87
5.5	5	Estimate: 2.9333 (Hits: 48)	88
5.5	5	Estimate: 2.9667 (Hits: 48)	89
5.5	5	Estimate: 3.0000 (Hits: 48)	90
5.5	5	Estimate: 3.0333 (Hits: 48)	91
5.5	5	Estimate: 3.0041 (Hits: 49)	92
5.5	5	Estimate: 3.0367 (Hits: 49)	93
5.5	5	Estimate: 3.0080 (Hits: 50)	94
5.5	5	Estimate: 3.0400 (Hits: 50)	95
5.5	5	Estimate: 3.0118 (Hits: 51)	96
5.5	5	Estimate: 2.9846 (Hits: 52)	97
5.5	5	Estimate: 3.0154 (Hits: 52)	98
5.5	5	Estimate: 3.0462 (Hits: 52)	99
5.5	5	Estimate: 3.0769 (Hits: 52)	100
