x	y	row_in_group	na_group
1	0	1	0
2	3.2	2	0
3	2.4	3	0
4	3.2	4	0
5	2.66666666666667	5	0
6	3.2	6	0
7	3.73333333333333	7	0
8	4.26666666666667	8	0
9	3.6	9	0
10	4	10	0
11	4.4	11	0
12	3.84	12	0
13	4.16	13	0
14	4.48	14	0
15	4.8	15	0
17	4.53333333333333	17	1
18	4.8	18	1
19	4.34285714285714	19	1
20	4	20	1
21	4.2	21	1
22	4.4	22	1
23	4.08888888888889	23	1
24	3.84	24	1
25	3.63636363636364	25	1
26	3.78181818181818	26	1
27	3.92727272727273	27	1
28	3.73333333333333	28	1
29	3.86666666666667	29	1
30	3.69230769230769	30	1
31	3.54285714285714	31	1
32	3.65714285714286	32	1
33	3.77142857142857	33	1
34	3.62666666666667	34	1
35	3.5	35	1
36	3.6	36	1
37	3.48235294117647	37	1
38	3.37777777777778	38	1
39	3.46666666666667	39	1
40	3.36842105263158	40	1
41	3.28	41	1
42	3.2	42	1
43	3.27619047619048	43	1
44	3.2	44	1
45	3.27272727272727	45	1
46	3.34545454545455	46	1
47	3.2695652173913	47	1
48	3.33913043478261	48	1
49	3.40869565217391	49	1
50	3.33333333333333	50	1
51	3.4	51	1
52	3.328	52	1
53	3.26153846153846	53	1
54	3.32307692307692	54	1
55	3.38461538461538	55	1
56	3.31851851851852	56	1
57	3.25714285714286	57	1
58	3.2	58	1
59	3.2551724137931	59	1
60	3.2	60	1
61	3.14838709677419	61	1
62	3.2	62	1
63	3.15	63	1
64	3.2	64	1
65	3.15151515151515	65	1
66	3.10588235294118	66	1
67	3.06285714285714	67	1
68	3.02222222222222	68	1
69	2.98378378378378	69	1
70	2.94736842105263	70	1
71	2.91282051282051	71	1
72	2.88	72	1
73	2.92	73	1
74	2.88780487804878	74	1
75	2.92682926829268	75	1
76	2.8952380952381	76	1
77	2.86511627906977	77	1
78	2.83636363636364	78	1
79	2.87272727272727	79	1
80	2.90909090909091	80	1
81	2.94545454545455	81	1
82	2.98181818181818	82	1
83	2.95111111111111	83	1
84	2.92173913043478	84	1
85	2.95652173913043	85	1
86	2.92765957446809	86	1
87	2.9	87	1
88	2.93333333333333	88	1
89	2.96666666666667	89	1
90	3	90	1
91	3.03333333333333	91	1
92	3.00408163265306	92	1
93	3.03673469387755	93	1
94	3.008	94	1
95	3.04	95	1
96	3.01176470588235	96	1
97	2.98461538461539	97	1
98	3.01538461538462	98	1
99	3.04615384615385	99	1
100	3.07692307692308	100	1
